asin,asn_arn,inbound_shipment_delivery_id,order_id,prep_performed,receive_process_path,receive_visibility_id,received_container_type,received_date_local,received_date_utc,received_on_day,received_qty,received_scannable_id,region_id,sscc_code,warehouse_id
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA1ABBE-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA1F2AE-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA23E94-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA34A8C-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA3956E-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA3DCE0-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA425D8-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA555A2-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA59F62-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA5E2C4-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA62CC0-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA72C74-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA77468-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA7B57C-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA7FC4E-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA947CA-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA98E2E-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA9CF56-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEAA10BA-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEAB4156-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEAB91C4-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEABD5B2-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEACB770-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEAD046E-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEAD4690-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEAD8A7E-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEADE5A0-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEAF3342-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEAF7ABE-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB08D50-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB0DD96-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB22494-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB332C6-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB38AAA-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB3CE70-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB41056-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB45A48-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEB49BE8-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
